"Egypt, Mobile",2013,0.0934
"Egypt, Mobile",2015,0.1092
"Egypt, Mobile",2016; 2019,0.1145
"Egypt, Mobile",2017; 2018,0.1224
"El Salvador",503,0.2092
"El Salvador, Mobile",5034; 5035; 5036; 5037; 5038; 5039,0.2053
"Equatorial Guinea",240,0.2434
"Equatorial Guinea, Mobile",2402; 2403; 2404; 2405; 2406; 2407,0.2434
"Eritrea",291,0.2763
"Estonia",372,0.0329
"Estonia, Mobile",3725; 372531; 372532; 372533; 3725353; 372536; 37254; 372570; 372571; 372572; 372576; 37259; 37281; 37282; 37283; 37284; 37285,0.4000
"Ethiopia",251,0.2711
"Ethiopia, Mobile",2519,0.2684
"Faeroe Islands",298,0.2400
"Falkland Islands (Malvinas)",500,0.8632
"Fiji",679,0.3197
